city,temperature
Yingdianjie,24.3
Camingawan,12.2
Matiompong,14.6
Gudurica,0.3
Libas,5.0
Mardzad,5.2
Orléans,18.3
Magong,24.4
Antíparos,18.1
Haguimit,19.9
Velké Hoštice,14.6
Gavião,23.4
Manuel Cavazos Lerma,9.5
Mirotice,8.2
Jincun,18.0
Bayt Liqyā,17.6
Al Bāţinah,21.9
Tomingad,2.6
Örnsköldsvik,5.5
Imsida,19.2
Bunga Mas,3.4
Charenton-le-Pont,17.2
Erechim,12.5
Alae,20.6
Lubuagan,6.7
Mendi,13.7
Lupane,20.8
Cicurug,19.4
Jardín América,18.7
Leipzig,17.8
Primorsk,8.1
Ridder,5.7
Zhaojia,26.0
Philadelphia,21.2
Kamiiso,4.3
Ashtarak,1.4
Al Qūşīyah,9.3
Bol’shoy Karay,4.4
Sukhothai,12.7
Athy,9.9
Wang Sai Phun,10.8
Nong Saeng,21.2
Miguel Calmon,20.8
Āshtīān,4.5
Hexi,14.6
Changjiang,16.6
Chiscas,9.2
Khāngāh Dogrān,2.5
Jianfeng,7.6
Gagarin,17.6
Paraíso das Águas,4.6
Tufang,14.9
Choszczno,23.4
Świętochłowice,12.0
Namie,21.4
Bhunya,22.6
Estrada,4.0
Saidpur,10.4
Lubień Kujawski,9.8
Sainte-Adèle,4.0
Eldama Ravine,25.3
Karanganyar,7.8
Piedrancha,13.5
Itororó,16.0
Ríohacha,8.6
Licheng,4.3
Yanglin,18.7
Shengli,1.8
Tuka,16.7
Sumbersari Wetan,1.9
Wucheng,14.5
Srono,24.9
Krajan Suko Kidul,2.2
Si Racha,22.9
Paris La Défense,6.9
Staryy Saltiv,19.2
Ḩadādah,8.9
Medang,15.4
Gorna Oryakhovitsa,5.2
Longshan,10.8
Polyarnyy,19.8
Napoles,10.7
Ŭiju,17.9
Akron,22.5
Wangba,10.4
Bang Rakam,12.4
Lexington,26.5
Taksimo,4.1
Alvaiázere,23.3
Tsévié,21.6
Czarna Białostocka,6.7
Dolores,14.9
Sukamulya,22.5
Terre Haute,25.2
Nyahururu,5.9
Calaba,22.0
Medzhibozh,2.9
Igrim,24.8
Alquízar,24.7
Jalal-Abad,20.6
Wangping,24.9
Puerto Iguazú,4.3
Quỳ Châu,21.3
Benito Juarez,15.7
Kashima-shi,1.2
Bajo Naranjillo,26.1
Aleg,4.9
Thoen,3.1
Cheongpyeong,2.8
Dordrecht,11.8
Wan’an,22.7
San Carlos,15.8
Kaduluhur,25.0
Teroual,14.4
Tha Ruea,24.3
Sumberrejo,16.5
Portëz,23.2
Kumalarang,12.7
Wahai,12.4
Piru,14.5
La Caya,23.2
Torbat-e Jām,25.8
Tominian,4.4
Imbituva,11.8
Cikiray,25.2
Guadalupe Victoria,14.3
Amolatar,25.5
Ha,7.4
Long’anqiao,18.0
Okuta,20.2
Bendungan,8.0
Gardawice,6.0
Chuncheng,17.6
Santa Cruz,0.4
Villa Carlos Paz,14.1
Koncang,17.5
Colonia Mauricio José Troche,2.0
Visby,16.2
Orodo,25.5
Huangli,24.6
Sigli,11.7
Guaranda,15.6
Sonta,18.7
Krajan Langenharjo,26.4
San Fabian,13.7
San Marcos,2.8
Shixiang,17.3
Boljoon,25.3
Passos,14.2
Ivano-Frankove,0.6
Wangping,23.3
Iwade,2.0
Pamoyanan,18.1
Li’an,9.1
Novo-Nikol’skoye,14.5
Huangjindong,21.9
Figueiró dos Vinhos,15.8
Nizhnedevitsk,12.0
Donghui,19.7
Dejilin,8.2
Puerto Mayor Otaño,19.6
Lučina,23.5
Novyye Cherëmushki,2.7
Paris 13,18.5
La Mesa,2.7
Ōzu,17.9
Tabora,14.3
Yangyong,18.9
Ziyang,6.9
Leżajsk,8.8
Mariano Moreno,4.6
Turochak,17.5
Nikolinci,13.1
Drawsko,20.7
Chikeng,10.2
Oesao,22.9
Aghsu,16.0
Niš,20.0
Wupu,2.4
Dobryanka,6.1
Diamantina,7.6
San Francisco,23.6
Achiaman,14.4
Kayangel,5.3
Yaroslavskaya,8.7
Kallíthiron,15.8
Kadugede,15.5
Wulong,12.8
Clarin,11.1
Neiguan,23.6
Shahe,7.4
Quiruvilca,23.7
Vicuña Mackenna,24.5
Halmstad,25.0
Dayton,19.5
Pachīr wa Āgām,21.8
Coronel Martínez,18.4
Banyupoh,20.9
Shaydon,5.2
Yara,15.3
Levuka,16.0
Xincun,23.8
Kizema,7.1
Hezuo,15.0
Ferreiros,3.9
Sumberbatas,-0.4
Madrid,10.9
Amphawa,18.8
Kradinan,15.8
Heshi,6.7
Schiltigheim,10.1
Xindian,9.0
Dno,8.4
Manalu,1.0
Skellefteå,18.2
Lewolere,3.3
Bene 'Ayish,3.4
Khlong Yai,5.9
Pong,10.6
Yuekou,19.6
Wawa,9.3
Loum,4.7
Victoria,18.5
Otok,23.0
Qiqin,21.4
Troyes,14.1
Jiacun,26.3
Lelydorp,7.9
Guarulhos,11.7
Zaymishche,17.1
Akhtopol,1.5
Le Mans,3.3
Ringinagung,8.0
Aqsū,1.5
Piedrancha,25.5
Hoima,14.4
Trujillo,0.5
Molde,21.8
Konsoy,1.8
Pedreira,16.7
Taquile,17.3
Purwokerto,16.9
Tsyelyakhany,22.8
Dū Laīnah,11.7
Nowosielce-Gniewosz,2.9
Wucheng,9.8
Pariti,18.9
Bang Sai,4.3
Cikalang,22.8
Poshnje,22.2
Kota Bharu,7.3
Baranoa,4.4
Khelyulya,19.9
Arzila,3.5
Houston,19.1
Kertayuga,15.8
Berkovitsa,4.5
Agrela,3.2
Bairro de Santo António,21.1
Bene 'Ayish,24.2
Älvängen,11.3
Jabonga,10.0
Ust’-Uda,9.5
Gunungkencana,17.9
Ô Môn,16.9
Sansheng,19.8
Murfreesboro,2.6
Qingyuan,22.5
Siguinon,15.5
Chico,11.4
Basel,14.1
Imeni Tsyurupy,20.1
Sagud-Bahley,23.2
Anaco,23.0
Uchiza,11.3
Shitouhe,17.7
Hang Dong,9.3
Doug An,3.9
Géfyra,19.5
Oster,17.5
Thatta,23.9
Ploso Wetan,18.2
Triánta,8.4
Liuji,2.1
Gzy,25.0
Čoka,23.0
Longshe,23.6
Katav-Ivanovsk,3.8
Fastovetskaya,26.1
Goulmima,20.9
Zaïo,11.2
Naudero,25.1
Hatava,0.3
Shahr-e Bābak,25.3
Cuiabá,22.7
Ipoh,24.7
Sukonolo Krajan,5.0
Jindong,21.4
Wola Jachowa,18.8
Seynod,1.5
Erdao,16.8
Mungkin,7.1
Cần Giờ,25.0
Maganha,3.4
Tongle,11.9
Beigucheng,24.1
Kaabong,25.3
Mikulčice,11.7
Dalududalu,2.5
Kuala Lumpur,0.7
Mpigi,20.2
Haibara,9.3
Atães,26.4
Raychikhinsk,8.9
Badovinci,9.4
Ngala,6.8
Sekirnik,10.2
Ouanaminthe,13.3
Trâu Quỳ,4.6
L'Union,3.4
Cacheu,13.7
Lamalewar,22.1
Fruitvale,0.4
Karma,11.8
Sumbersewu,2.3
Lanos,0.9
Kralupy nad Vltavou,21.0
Nizwá,5.4
San Andres,10.5
Rajadesa,18.0
Sirnasari,20.4
Dhahab,3.4
Liutao,19.4
Geneng,19.3
Goris,26.4
Yuzhou,15.6
Newark,8.7
Zhongshan,14.2
Göteborg,10.7
Botoh,6.6
Căuşeni,12.1
Osek nad Bečvou,12.8
Tucano,1.8
Chixi,7.1
Jamaica,17.6
Quatro Barras,26.0
Pingle,2.8
Tabouda,4.4
Cumanacoa,2.1
Kabanga,24.3
Kimil’tey,17.8
Covão da Carvalha,11.9
Thepharak,24.9
Capanema,0.3
Póvoa,1.1
Bachaquero,23.9
Abade de Vermoim,26.2
Budapest,18.7
Nong Muang,15.9
Stavanger,13.8
Aiánteio,12.9
Caldas da Felgueira,19.9
Strawberry Hills,4.1
Jindong,19.7
Ochakiv,20.5
Suponevo,23.3
Michałowice,23.4
Inda Silasē,9.8
Vila Franca de Xira,20.3
Nueva Helvecia,13.8
Xiaomian,23.3
Cheonan,24.2
Sogati,25.5
Malasugui,3.9
Tha Tako,14.0
Garies,22.1
Genova,-0.2
Menampukrajan,24.8
Paramaribo,15.0
Katabu,19.9
Tajerouine,5.8
Huxi,9.5
Pamplona,12.8
Dębica,9.3
Melita,0.3
Kuroiso,17.3
Lampa,11.3
Trzcinica,7.5
Stryków,7.9
Infanta,1.8
Karelichy,4.4
Cagbang,21.1
Yushan,10.9
Polešovice,4.8
Banag,11.1
Morteros,-0.4
Dadong’ao,16.9
Pamplona/Iruña,23.7
Krzyżanów,15.7
la Massana,23.5
Estancia,23.6
Kapakabisa,0.4
Kuala Lumpur,15.4
Huaidao,14.9
Bailang,21.9
Moroni,16.8
Changxing,13.9
Caozhen,23.4
Kertosari,6.6
Kingisepp,11.4
Pergamos,2.7
Nice,17.5
Bafilo,19.9
Wilcza,19.0
Mastung,5.6
Chuguyevka,3.9
Bajawa,17.3
Ntungamo,20.4
Suishan,10.2
Sabaneta,25.7
Kobilje,6.7
Želetava,18.5
Krasnorechenskiy,5.2
Jinping,19.0
Tanghu,24.0
Babushkin,22.1
Riangbaring,11.1
Sambir,-0.0
Songjiang,2.7
Barranquilla,12.2
Boljoon,17.7
Berezna,22.0
Talondang,14.7
Curahnongko,22.6
Barisan,16.1
Maño,22.5
Jiukou,11.8
Qiying,7.4
Cibungur,6.8
Mahīn,1.3
Pribrezhnyy,5.3
Morrito,5.0
Albany,2.2
Levallois-Perret,12.8
Moroni,14.3
Taldykorgan,15.7
Bosaso,15.0
Ollachea,15.2
Znamenka,25.5
Arranhó,0.7
Roun Satu,18.4
Tuburan,23.3
Pasirmukti,15.3
Mikhaylov,15.7
Sukadami,15.3
Porsgrunn,18.2
Xincun,26.3
Cibatu,16.7
Bagacay,-0.2
Novospasskoye,2.0
Totoral,12.4
Shanghudi,8.1
Jiangtou,18.2
Pavlovka,1.9
Rotterdam postbusnummers,10.2
Seoam,19.7
Huasta,26.5
Matinha,14.4
Hekou,4.2
Maslovka,19.3
Trucuk,22.0
Jianmin,4.9
Bezlyudivka,26.4
Boshchorbogh,-0.3
Blyznyuky,1.0
Dongdu,10.6
Vrbice,9.9
Pelem,11.1
Wahai,19.8
Lumijoki,14.3
Sacramento,17.8
Norrköping,23.2
Nizhnyaya Omka,10.1
Novorossiysk,7.8
Nartkala,26.4
Aleksandrovka,7.3
Ayapa,10.1
Ylitornio,18.6
Xiongzhou,23.4
Tengqiao,15.8
Golmud,12.1
Masaran,6.0
Sidamulya Satu,23.9
Khān Arnabah,7.7
Konice,10.0
Zhushan,20.0
Sumber Tengah,22.6
Foros de Salvaterra,21.6
Bachuan,18.6
Ambositra,11.9
Mobile,18.3
El Cantón de San Pablo,13.6
Ścinawa,13.4
Göteborg,25.1
Phayuha Khiri,20.5
Kagadi,12.0
Caigangan,19.5
Xujiaqiao,7.1
Pekuncen,12.0
Salaš Crnobarski,23.0
Kukës,12.0
Aktau,1.1
Hepang,25.9
Kadukandel,11.5
Zouila,21.8
Ebene,20.3
Jelisavac,13.4
Janeng,4.7
Bungur,18.9
Augusta,3.2
Lianxia,21.0
Dardhas,12.4
Olszówka,20.5
Portëz,13.0
Surgut,15.1
Oliveira,5.3
Zyryanovsk,24.1
Carmen,6.1
Jastrzębia Góra,17.0
‘Anat al Qadīmah,5.8
San Marcos,11.2
Pengilon,1.1
Petrodvorets,17.9
Xincheng,2.4
Toluviejo,17.0
Lleida,9.2
Famões,25.7
Rešetari,23.4
Donggu,3.3
Mekarjaya Satu,0.1
Sa’erhusong,22.8
Yidu,25.0
Tours,6.1
Burevestnik,12.2
Veiga,2.5
Mulan,11.6
Al Ghayl,10.1
Lingqian,16.9
Härnösand,20.0
Ji’an,0.8
Babakan,25.6
Richmond,9.4
Pamplona/Iruña,5.3
Thị Trấn Bắc Yên,4.9
Tambura,7.3
Croix,25.8
Abucay,0.3
Lyubotyn,11.1
Canauay,24.1
Rudong,22.9
Ljungbyholm,2.1
Camabatela,7.2
Skillingaryd,4.9
Ob’,25.0
Pianbai,15.7
Sempu,-0.2
Boli,18.4
Dulangan,1.0
Bouna,6.5
Lujiao,1.2
Nykvarn,-0.4
Maloma,10.9
Orodara,11.1
Phu Sang,22.7
Tanjung Raja,16.4
Pedra Azul,23.6
Örebro,16.7
Lapa,11.2
Yunyan,21.2
Eskilstuna,1.9
Benchu,3.8
Nazir Town,25.9
Nechanice,20.6
Babakan,21.2
Chirkey,7.4
Sanguansi,2.4
Yangping,17.8
Bourges,18.2
Medellín,12.4
Ergong,18.7
Bromma,17.4
Opaka,19.4
Partizansk,15.5
Horní Suchá,19.4
Kryvichy,12.9
Vallenar,24.5
Jiujianfang,17.2
Saseel,17.0
Glushkovo,0.6
Imotski,2.7
Lethbridge,16.5
Malimaneek,19.9
Tocha,3.4
Sinop,25.1
Mapaniqui,1.0
Kuala Bintang,17.3
Novi Vinodolski,13.9
Lushnjë,7.0
Kachkanar,12.5
Oliveira do Conde,6.6
Verin Dvin,13.0
Idtig,17.0
Guangyubao,10.7
Wutumeiren,18.1
Portela,24.4
Verkhozim,12.8
Chamouny,12.7
Ferreiros,20.1
Khlung,21.5
Reston,17.4
Chepo,14.8
Nusaherang,14.0
Boise,2.1
Dhromolaxia,9.3
Myeik,20.5
Creighton,22.4
Nanxing,16.1
Zürich,2.0
Agra,23.8
Farranacoush,12.6
Tingzhou,9.2
Shuigou’ao,23.1
Riangwale,8.6
Bokor,15.4
Curry,12.3
Eiguliai,14.1
Smederevska Palanka,3.7
Cafe,8.5
Neochóri,18.8
Moscow,19.8
Mitry-Mory,21.0
João Câmara,3.5
Nangang,17.3
Xinchong,9.7
Gaoyang,12.2
Bindura,4.2
Jiangchi,18.5
Sucre,19.7
Gobernador Costa,17.2
Beigong,13.7
Kalajoki,23.4
Železnice,14.8
Nagbacalan,20.8
Säffle,10.3
Torsås,25.0
Zhangjiawo,5.7
Jackson,17.6
San Vicente de Bique,9.7
Ilongero,4.5
Agriá,24.4
Ramanavichy,11.6
Orlando,14.1
Domaradz,19.4
Staten Island,2.9
Salinggara,16.6
Minle,14.8
Lillehammer,15.9
Gazimurskiy Zavod,9.0
Yam,11.8
Caeté,21.2
Vila Chã do Monte,16.4
Al Masallamiyya,7.6
Sarimukti Kaler,15.7
Ptení,11.8
Manalu,19.0
Dehī,8.3
Baniachang,6.3
Cipeucang,20.9
Khiv,14.8
Fujiayan,21.2
Campo Quijano,11.6
Kazanskaya,14.9
Kuanping,8.1
Tizgane,3.3
Xylókastro,21.3
Xiadian,1.6
Igir-igir,6.5
Manghit,23.8
Tinampo,2.1
Guamal,20.9
Denver,21.9
Thị Trấn Trùng Khánh,21.1
Wangcao,22.3
Pindobaçu,18.9
Pantaihambawang,3.0
Halimpu,6.1
Lyon,10.8
Barrī ash Sharqī,19.0
Lanjaghbyur,15.2
Caen,10.5
Bu‘eina,24.9
Sułoszowa,0.5
Sanchang,15.3
Ta Khmau,17.2
Qingdao,20.2
Mocoa,3.1
Dicamay,18.6
Puutuga,12.8
Baloc,24.1
Pasirjengkol,2.6
Xinbei,2.7
Zavolzh’ye,11.6
Wantian,3.6
Tongzi,24.9
Torbay,10.2
Shaguotun,1.3
Cankova,18.6
Moroto,1.5
Salto,5.3
Bayangol,-0.1
Butiá,14.6
De la Paz,3.8
Rennes,24.8
Jaguaruana,5.9
Rūdiškės,24.1
Pinheiral,19.3
Quito,20.2
Brie-Comte-Robert,2.3
Przywidz,15.9
Wuxi,8.4
Namur,4.4
